"","TargetAcc","TargetRT","TrialType"
"1",1,954,"Nonword"
"2",1,532,"WordUnrelated"
"3",1,688,"Nonword"
"4",1,1237,"WordRelated"
"5",1,483,"Nonword"
"6",1,727,"Nonword"
"7",1,563,"Nonword"
"8",1,1013,"WordUnrelated"
"9",1,669,"Nonword"
"10",1,539,"WordRelated"
"11",1,783,"WordUnrelated"
"12",1,728,"Nonword"
"13",1,828,"WordUnrelated"
"14",1,683,"WordRelated"
"15",1,1041,"Nonword"
"16",1,1080,"Nonword"
"17",1,1005,"WordUnrelated"
"18",1,750,"WordRelated"
"19",1,577,"Nonword"
"20",1,601,"Nonword"
"21",1,1082,"Nonword"
"22",1,647,"Nonword"
"23",1,702,"WordRelated"
"24",1,451,"Nonword"
"25",1,650,"Nonword"
"26",1,545,"WordUnrelated"
"27",1,587,"Nonword"
"28",1,701,"Nonword"
"29",1,633,"Nonword"
"30",1,465,"Nonword"
"31",1,544,"Nonword"
"32",1,475,"WordUnrelated"
"33",1,633,"WordRelated"
"34",1,496,"Nonword"
"35",1,557,"Nonword"
"36",1,601,"Nonword"
"37",1,394,"WordRelated"
"38",1,567,"WordRelated"
"39",1,617,"WordRelated"
"40",1,698,"Nonword"
"41",1,631,"Nonword"
"42",1,502,"Nonword"
"43",1,635,"Nonword"
"44",1,763,"WordRelated"
"45",1,525,"Nonword"
"46",1,537,"WordRelated"
"47",1,533,"WordUnrelated"
"48",1,729,"WordUnrelated"
"49",1,604,"Nonword"
"50",1,533,"Nonword"
"51",1,465,"WordUnrelated"
"52",1,464,"Nonword"
"53",1,486,"Nonword"
"54",1,492,"WordUnrelated"
"55",1,594,"Nonword"
"56",1,507,"WordUnrelated"
"57",1,608,"WordRelated"
"58",1,449,"Nonword"
"59",1,536,"Nonword"
"60",1,580,"Nonword"
"61",1,918,"WordRelated"
"62",1,730,"WordRelated"
"63",1,421,"WordRelated"
"64",1,534,"WordRelated"
"65",1,538,"WordUnrelated"
"66",1,549,"Nonword"
"67",1,440,"WordRelated"
"68",1,400,"Nonword"
"69",1,529,"WordUnrelated"
"70",1,429,"Nonword"
"71",1,677,"WordUnrelated"
"72",1,475,"Nonword"
"73",1,393,"WordUnrelated"
"74",1,506,"WordRelated"
"75",1,687,"WordUnrelated"
"76",1,813,"WordUnrelated"
"77",1,613,"WordRelated"
"78",1,444,"Nonword"
"79",1,500,"WordRelated"
"80",1,673,"WordUnrelated"
"81",1,719,"WordUnrelated"
"82",1,707,"WordUnrelated"
"83",1,640,"Nonword"
"84",1,832,"WordUnrelated"
"85",1,511,"WordRelated"
"86",1,500,"Nonword"
"87",1,385,"WordRelated"
"88",1,515,"Nonword"
"89",1,471,"Nonword"
"90",1,486,"Nonword"
"91",1,515,"WordRelated"
"92",1,552,"Nonword"
"93",1,635,"WordRelated"
"94",1,643,"Nonword"
"95",1,505,"Nonword"
"96",1,527,"Nonword"
"97",1,715,"WordUnrelated"
"98",1,391,"WordUnrelated"
"99",1,689,"Nonword"
"100",1,535,"WordRelated"
"101",1,618,"Nonword"
"102",1,475,"Nonword"
"103",1,505,"WordRelated"
"104",1,606,"Nonword"
"105",1,567,"Nonword"
"106",1,660,"Nonword"
"107",1,642,"Nonword"
"108",1,522,"WordUnrelated"
"109",1,726,"WordRelated"
"110",1,626,"WordRelated"
"111",1,522,"WordUnrelated"
"112",1,558,"WordUnrelated"
"113",1,505,"WordUnrelated"
"114",1,830,"Nonword"
"115",1,496,"WordRelated"
"116",1,549,"Nonword"
"117",1,528,"WordUnrelated"
"118",1,396,"WordUnrelated"
"119",1,605,"Nonword"
"120",1,478,"WordRelated"
"121",1,476,"Nonword"
"122",1,492,"WordUnrelated"
"123",1,1033,"WordRelated"
"124",1,481,"WordUnrelated"
"125",1,550,"Nonword"
"126",1,685,"WordUnrelated"
"127",1,546,"WordUnrelated"
"128",1,573,"Nonword"
"129",1,528,"WordUnrelated"
"130",1,635,"Nonword"
"131",1,587,"Nonword"
"132",1,493,"Nonword"
"133",1,441,"WordRelated"
"134",1,521,"WordRelated"
"135",1,510,"Nonword"
"136",1,658,"Nonword"
"137",1,497,"WordUnrelated"
"138",1,470,"WordRelated"
"139",1,461,"WordUnrelated"
"140",1,539,"WordRelated"
"141",1,615,"Nonword"
"142",1,583,"Nonword"
"143",1,641,"Nonword"
"144",1,512,"Nonword"
"145",1,573,"Nonword"
"146",1,487,"WordRelated"
"147",1,517,"WordUnrelated"
"148",1,545,"Nonword"
"149",1,556,"Nonword"
"150",1,607,"Nonword"
"151",1,544,"WordRelated"
"152",1,860,"WordRelated"
